1.0,37,0.3,4,0,0.01,0,0,0,3,57,12,15,5,0.08,0.02,0,0,0.03,0.8,0.08,0.14,0,-99,0,-99
1.0,79,11.4,1.8,0,3,-99,0,-99,117,325,2250,-99,56,1,0.6,-99,0.06,0.3,8.3,-99,-99,-99,28,8,0
1.0,471.11,5.21,67.56,11.25,21.88,9.76,12.12,-99,947,529,48,221,67.4,16.4,2.4,-99,1.33,0.21,-99,0.25,0.12,0,6.62,-99,1.39
0.94,601,22,0.8,0,57,23.18,28.09,100,1060,207,51,59,10,2.2,1.3,-99,0.17,0.18,6.1,-99,0,0,0,0,-99
1.0,10,0,2.6,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0.6,81,1,20,1.9,0.2,0,0,0,-99,-99,30,20,-99,0.6,-99,-99,0.08,0.09,0.9,-99,0,18,-99,0,-99
0.15,47,10.7,0,0,0.5,0.05,0.15,40,121,43,128,204,51,24,1.3,0,0.04,0.14,4.1,0.08,0,0,250,0,0
1.0,518,7.8,56.4,0,30.6,18.2,10.8,0,19,397,40,287,100,2.2,0.2,-99,0.16,0.17,1.2,0.05,0,-99,-99,0,0.5
1.0,528,8,58.3,0,30.9,18.2,11,-99,110,350,270,230,26,0.2,0.9,-99,0.08,0.49,2.8,0.07,-99,0,-99,-99,1.14
1.0,534.9,8.4,60,0,30,17.46,10.84,74,100,440,188,255,55,1.4,0.2,0.08,0.1,0.35,1.4,0.07,-99,-99,-99,-99,0.49
1.0,556,9.5,47.5,-99,36.5,-99,0,-99,80,440,240,250,65,3,-99,0.08,0.15,0.32,0.6,-99,-99,1,-99,-99,7
1.0,272,24,17,-99,12,-99,0,-99,60,1500,190,740,500,12,-99,0.1,0.4,0.4,3,0.1,-99,0,-99,-99,0.9
1.0,507,5,54,-99,30,-99,0,-99,15,450,60,220,150,3,-99,0.05,0.08,0.08,0.7,-99,-99,0,-99,-99,2
1.0,175,13,1.2,0,13,4.3,7.85,64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,131,15,1.5,0,7.5,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0.97,271,27,0.5,0,18,6.45,10.52,60,1060,207,21,160,11,2.4,1.2,-99,0.3,0.13,7.1,0.15,0.9,0,0,0,0.3
0.7,113.2,19.3,-99,0,4,-99,0,-99,-99,-99,9,-99,-99,0.9,-99,0,0.32,0.1,6,0.3,-99,-99,-99,-99,-99
